,dataset,sentences
0,custom_mturk,"consensus and accurate diagnosis of vad relies on wide ranging clinical, neuropsychometric and neuroimaging measures with subsequent pathological confirmation"
1,custom_mturk,"their contributions have been confirmed in mimicry experiments, in experiments with antagonists of their actions, and in experiments where the genes encoding their receptors have been deleted"
2,custom_mturk,"through the action of cytokines on the brain, liver, endothelium, adipose tissue and elsewhere, this process could be a major contributor to the biochemical and clinical features of metabolic syndromex(glucose intolerance, dyslipidaemia, insulin resistance, hypertension, central obesity, accelerated atherosclerosis) but also provides a mechanism for many other abnormalities seen in type ii diabetes, including those in blood clotting, the reproductive system, metal ion metabolism, psychological behaviour and capillary permeability"
3,custom_mturk,"in studies of the mechanism of the impaired incretin effect in type 2 diabetic patients, it has been found that the secretion of gip is generally normal, whereas the secretion of glp 1 is reduced, presumably as a consequence of the diabetic state"
4,custom_mturk,"factors that define the subtypes of vad include the nature and extent of vascular pathologies, degree of involvement of extra and intracranial vessels and the anatomical location of tissue changes"
5,custom_mturk,"a link between alzheimer disease (ad) and metabolic disorders has been established, with patients with type 2 diabetes at increased risk of developing ad and vice versa"
6,custom_mturk,"it is widely accepted that insulin resistance is an early finding, evident before the onset of hyperglycaemia and predictive of the subsequent development of diabetes"
7,custom_mturk,recent observations suggest that there is a vascular basis for neuronal atrophy in both the temporal and frontal lobes in vad that is entirely independent of any alzheimer pathology
8,custom_mturk,crossectional analysis show that acute insulin secretory responses (air) to inravenous glucose are lower in subjects with impaired glucose tolerance and those at high risk for developing diabetes
9,custom_mturk,"the results show that the precore region is not required for the exnression either of core antigen (cag) or of a related hepatitis b virus antigen, the e antigen (eag)"
10,custom_mturk,early insulin secretion is important for the rapid and efficient suppression of endogenous glucose production after meal
11,custom_mturk,our results suggest that the precore region plays a role in targeting core proteins to the membrane; this may be the direct cause of eag  secretion and also may aid in the interaction of the core and surface antigens in the formation of the viral particle
12,custom_mturk,"plaque or tangle pathology is not apparent at this age, suggesting that they contribute cognitive dysfunction at later time points."
13,custom_mturk,proper folding of polypeptide into a threedimensional structure is essential for cellular function and protein malfolding can threaten cell survival
14,custom_mturk,"however, when er functions are severely impaired, the cell is eliminated by apoptosis via transcriptional induction of chop/gadd15t3h,e activation of cjun nh2 terminal kinase, and/or the activation of caspase 12"
15,custom_mturk,neither of these recent studies has addressed whether it is testosterone itself or conversion to oestradiol (via aromatase) that influences cognitive function.
16,custom_mturk,"this seasonal pattern could arise from a number of causes or a combination of causes, such as climatic factors, dietary changes, obesity, physical activity, and infection, but it is difficult to reconcile the prolonged high incidence in summer, autumn, and winter with the seasonal variations of most of these factors"
17,custom_mturk,the women health initiative memory study did not find an improvement in cognitive function after treatment with conjugated oestrogen plus progestin.
18,custom_mturk,"mutant p53 protein, mutations in the p53 gene, and specific codon 249 mutations were detected in 37, 29, and 13 percent, respectively, of the hcc cases"
19,custom_mturk,enterovirus infection or some other factor which is present in autumn combined with a viable latent period before development of diabetes could also produce the seasonal pattern found
20,custom_mturk,"alzheimer disease is a progressive, dementing disorder, usually of middle or late life."
21,custom_mturk,"diabetes is a disease of multiple aetiology in which genetic, environmental, and endocrine factors play a part"
22,custom_mturk,"a diagnosis of definite alzheimer disease requires histopathologic confirmation. a clinical diagnosis of possible alzheimer disease may be made in the presence of other significant diseases, particularly if, on clinical judgment, alzheimer disease is considered the more likely cause of the progressive dementia."
23,custom_mturk,"the ors between hbsag and p53 dna and protein mutations were 2.6 (p = 0.077) and 18 (p > 0.05), respectively"
24,custom_mturk,older adults who do not develop dementia have stable cognitive performance.
25,custom_mturk,"however, there was no increase in brain plaque formation in cases of type 2 diabetes, although when it was present, it correlated in extent with duration of diabetes"
26,custom_mturk,"we now report that reovirus type 1 also produces diabetes in mice, but in addition triggers a polyendocrine disease and induces autoantibodies to insulin and growth hormone (gh)"
27,custom_mturk,"in some cases, the ad hallmarks may conceivably be promoted by a specific form of vascular injury; for example, blood brain barrier (bbb) dysfunction may affect abeta transport between the brain and periphery and thereby contribute to parenchymal and neurovascular amyloid deposition"
28,custom_mturk,individuals currently characterised as having mci progress steadily to greater stages of dementia severity at rates dependent on the level of cognitive impairment at entry and they almost always have the neuropathologic features of ad.
29,custom_mturk,"every plaque that was visualized with thioflavin also had amyloid, but not all thioflavin positive plaques contained neurites that could be recognized with specific monoclonal antibodies to paired helical filament, tau, or neurofilament epitopes."
30,custom_mturk,"confirmation that presenilin is the catalytic site of c secretase has provided a linchpin: all dominant mutations causing early onset ad occur either in the substrate (amyloid precursor protein, app) or the protease (presenilin) of the reaction that generates abeta"
31,custom_mturk,"progression from igt to diabetes was accompanied by a further increase in body weight, further decreases in insulin stimulated glucose disposal and air, and an increase in basal ego"
32,custom_mturk,neuroinflammation is likely to play an important role in the pathogenesis of dementia by the killing of neurons through inflammatory mechanisms
33,custom_mturk,much less has been learned from chronic neurodegenerative disorders that insidiously impair memory
34,custom_mturk,"of 1,289 shipyard workers who received this vaccine, 191 (15 percent) developed jaundice several weeks to 8 months later; jaundice did not occur among unvaccinated workers"
35,custom_mturk,reactive oxygen species (ros) play a key role in inflammatory tissue destruction
36,custom_mturk,"in the chronic diseases, which are at greatest risk of developing hcc, the infection is acquired in the early years or years of life"
37,custom_mturk,"the results suggest a role for hyperlipacidemia in the pathogenesis of niddm; resistance to insulin mediated antilipolysis is invoked to explain the high ffa despite hyperinsulinemia, and sensitivity of beta cells to hyperlipacedemia is invoked to explain the ffa induced loss of gsis"
38,custom_mturk,"functional imaging studies, in particular, suggest increased recruitment of brain areas in older adults that may reflect a form of compensation."
39,custom_mturk,"although adipocytes are critical in obesity, their role in diabetes has only recently been appreciated"
40,custom_mturk,the discovery of the etiologic agent of hepatitis b and the development of safe and effective vaccines constitute one of the remarkable scientific achievements of the 20th century
41,custom_mturk,"alzheimer disease (ad) has characteristic histopathological, molecular, and biochemical abnormalities, including cell loss; abundant neurofibrillary tangles; dystrophic neurites; amyloid precursor protein, amyloid beta (app abeta) deposits; increased activation of prodeath genes and signaling pathways; impaired energy metabolism; mitochondrial dysfunction; chronic oxidative stress; and dna damage."
42,custom_mturk,"t2dm causes brain insulin resistance, oxidative stress, and cognitive impairment, but its aggregate effects fall far short of mimicking ad; "
43,custom_mturk,we review presently available evidence and suggest that nox type nadph oxidases may become promising pharmacological targets for the treatment and prevention of dementia
44,custom_mturk,understanding the transition to obesity with concomitant diabetes will provide important clues to the pathogenesis of type 2 diabetes
45,custom_mturk,we conclude that the term type 3 diabetes accurately reflects the fact that ad represents a form of diabetes that selectively involves the brain and has molecular and biochemical features that overlap with both type 1 diabetes mellitus and t2dm.
46,custom_mturk,alzheimer disease and vascular cognitive impairment are important causes of cognitive decline in the elderly
47,custom_mturk,"definitions of vascular cognitive impairment (vci), neuropathology, basic science and pathophysiological aspects, role of neuroimaging and vascular and other associated risk factors, and potential opportunities for prevention and treatment are reviewed"
48,custom_mturk,"an increased plasma homocysteine level is a strong, independent risk factor for the development of dementia and alzheimer disease."
49,custom_mturk,"gdm is detected through the screening of pregnant women for clinical risk factors and, among at risk women, testing for abnormal glucose tolerance that is usually, but not invariably, mild and asymptomatic"
50,custom_mturk,all four genes definitively linked to inherited forms of the disease to date have been shown to increase the production and/or deposition of amyloid beta protein in the brain.
51,custom_mturk,"in addition, there is evidence that the rate of forgetting from secondary memory is normal"
52,custom_mturk,gdm appears to result from the same broad spectrum of physiological and genetic abnormalities that characterize diabetes outside of pregnancy
53,custom_mturk,"we conclude that the mechanisms of insulin resistance in patients with impaired glucose tolerance and in patients with type ii noninsulin dependent diabetes are complex, and result from heterogeneous causes"
54,custom_mturk,"in this large group of patients with schizophrenia, receipt of a prescription for atypical neuroleptics was significantly associated with diabetes mellitus"
55,custom_mturk,a high specificity would require that a low score on the test in question would be characteristic of early dat but not of other memory deficits occurring in the elderly
56,custom_mturk,"these observations indicate that part of the insulin deficiency is acquired (through glucose toxicity, lipotoxicity, or both)"
57,custom_mturk,"recently, a cag repeat polymorphism in the ar gene was reported to be associated with cognitive function in older men"
58,custom_mturk,"these results suggest that the greater the number of cag repeats, and therefore the greater the impairment of ar function, the worse the cognitive ability of nondemented older men"
59,custom_mturk,"we designed such a test, the visual association test (vat), based on the following rationale"
60,custom_mturk,the primary characteristic of anterograde amnesia is an inability to recall recent day to day experiences
61,custom_mturk,"secondly, these effects extend to memory impaired subjects, with the notable and consistent exception of patients with anterograde amnesia"
62,custom_mturk,"because of the multiple physiological connections, in general, insulin deficiency and resistance will co vary"
63,custom_mturk,"among the disorders that must be excluded are manic depressive disorder, parkinson disease, multi infarct dementia, and drug intoxication; less commonly encountered disorders that may cause dementia include thyroid disease, pernicious anemia, luetic brain disease and other chronic infections of the nervous system, subdural hematoma, occult hydrocephalus, huntington disease, creutzfeldt jakob disease, and brain tumors"
64,custom_mturk,the latter hypothesis explains the increased formation of the app derivative betaa4 which aggregates to amyloid
65,custom_mturk,"however, in constrast, the great majority of all alzheimer cases (95 percent to 90 percent) was found to be sporadic in origin and oflate onset"
66,custom_mturk,"on the other hand, however, most studies have highlighted the major role played by the immune response to hbv proteins, and particularly hbv specific ctl, in liver lesions observed during hbv infection"
67,custom_mturk,"whilst these early changes powerfully determine susceptibility, additional factors such as obesity, ageing, physicalinactivity, and possibly other processes leading to insulin resistance must also play a role in deciding the time of onset and severity of type 2 diabetes"
68,custom_mturk,older adults who do not develop dementia have stable cognitive performance
69,custom_mturk,plaque predominant ad was found in a greated proportion of subjects with milder than more severe dementia
70,custom_mturk,"as the population continues to age, the prevalence of dementing illnesses such as ad will increase"
71,custom_mturk,phosphorylation sites in the j3 subunit of the control and diabetic receptor widereen tified by tryptic digestion and reverse phase high performance liquid chromatography
72,custom_mturk,these results provide direct support in humans for the hypothesis that altered abeta metabolism precedes tau related pathology and neuronal degeneration.
73,custom_mturk,"moreover, in sad, it has been shown that the neuronal insulin receptor is desensitized similarly to non insulin dependent diabetes mellitus "
74,custom_mturk,"alzheimer disease (ad) is a progressive neurodegenerative disorder characterized by multiple cognitive deficits including worsening of memory, judgment, and comprehension and deterioration in global functioning"
75,custom_mturk,"cow milk has been implicated as a possible trigger of the autoimmune response that destroys pancreatic beta cells in genetically susceptible hosts, thus causing diabetes mellitus"
76,custom_mturk,one or two  copies of the apoe epsilon4 allele are present in approximately 40 50 percent of ad patients
77,custom_mturk,non insulin dependent diabetes mellitus (niddm) is a genetically heterogeneous disorder
