true_label,true_sent,pred_label,pres_sent
1,Brocho-biliary fistula: A rare complication after ruptured liver abscess in a 3\'bd year old child.,1,Brocho-biliary fistula: A rare complication after ruptured liver abscess in a 3½ year old child.
0,"Reptile-associated Borrelia spp. In Amblyomma ticks, Thailand.",0,"Reptile-associated Borrelia spp. In Amblyomma ticks, Thailand."
0,Expanded programme on immunization (EPI). Inclusion of yellow fever vaccine in the EPI.,0,Expanded programme on immunization (EPI). Inclusion of yellow fever vaccine in the EPI.
1,Roles of PKC and phospho-adducin in transepithelial fluid secretion by Malpighian tubules of the yellow fever mosquito.,1,Roles of PKC and phospho-adducin in transepithelial fluid secretion by Malpighian tubules of the yellow fever mosquito.
0,Health advice for the international traveler.,0,Health advice for the international traveler.
1,Structure-activity relationships of 33 piperidines as toxicants against female adults of Aedes aegypti (Diptera: Culicidae).,1,Structure-activity relationships of 33 piperidines as toxicants against female adults of Aedes aegypti (Diptera: Culicidae).
0,[The jaundice epidemic during the summer of 538 A.D. in the region of Ancona].,0,[The jaundice epidemic during the summer of 538 A.D. in the region of Ancona].
0,IMMUNIZATION.,0,IMMUNIZATION.
0,Clara Louise Maass: heroine or martyr of public health?,0,"Clara Louise Maass: heroine or martyr of public health?,"
0,[Mosquitoes as vectors of arboviruses: an endless story].,0,[Mosquitoes as vectors of arboviruses: an endless story].
0,Leonard Wood as the modern renaissance man.,0,Leonard Wood as the modern renaissance man.
1,[Meningoencephalitis after vaccination against yellow fever with the 17 D strain: 2 cases].,1,[Meningoencephalitis after vaccination against yellow fever with the 17 D strain: 2 cases].
0,Diversity of ubiquitin and ISG15 specificity among nairoviruses' viral ovarian tumor domain proteases.,1,Diversity of ubiquitin and ISG15 specificity among nairoviruses viral ovarian tumor domain proteases.
1,Intracellular immune responses of dipteran insects.,0,Intracellular immune responses of dipteran insects.
0,Safety and efficacy of chimeric yellow Fever-dengue virus tetravalent vaccine formulations in nonhuman primates.,0,Safety and efficacy of chimeric yellow Fever-dengue virus tetravalent vaccine formulations in nonhuman primates.
0,[Eulogy for Pierre Chirac by Fontenelle].,1,[Eulogy for Pierre Chirac by Fontenelle].
