,sentences,dataset
0,"consensus and accurate diagnosis of vad relies on wide ranging clinical, neuropsychometric and neuroimaging measures with subsequent pathological confirmation",custom_mturk
1,"their contributions have been confirmed in mimicry experiments, in experiments with antagonists of their actions, and in experiments where the genes encoding their receptors have been deleted",custom_mturk
2,"through the action of cytokines on the brain, liver, endothelium, adipose tissue and elsewhere, this process could be a major contributor to the biochemical and clinical features of metabolic syndromex(glucose intolerance, dyslipidaemia, insulin resistance, hypertension, central obesity, accelerated atherosclerosis) but also provides a mechanism for many other abnormalities seen in type ii diabetes, including those in blood clotting, the reproductive system, metal ion metabolism, psychological behaviour and capillary permeability",custom_mturk
3,"in studies of the mechanism of the impaired incretin effect in type 2 diabetic patients, it has been found that the secretion of gip is generally normal, whereas the secretion of glp 1 is reduced, presumably as a consequence of the diabetic state",custom_mturk
4,"factors that define the subtypes of vad include the nature and extent of vascular pathologies, degree of involvement of extra and intracranial vessels and the anatomical location of tissue changes",custom_mturk
5,"a link between alzheimer disease (ad) and metabolic disorders has been established, with patients with type 2 diabetes at increased risk of developing ad and vice versa",custom_mturk
6,"it is widely accepted that insulin resistance is an early finding, evident before the onset of hyperglycaemia and predictive of the subsequent development of diabetes",custom_mturk
7,recent observations suggest that there is a vascular basis for neuronal atrophy in both the temporal and frontal lobes in vad that is entirely independent of any alzheimer pathology,custom_mturk
8,crossectional analysis show that acute insulin secretory responses (air) to inravenous glucose are lower in subjects with impaired glucose tolerance and those at high risk for developing diabetes,custom_mturk
9,"the results show that the precore region is not required for the exnression either of core antigen (cag) or of a related hepatitis b virus antigen, the e antigen (eag)",custom_mturk
10,early insulin secretion is important for the rapid and efficient suppression of endogenous glucose production after meal,custom_mturk
11,our results suggest that the precore region plays a role in targeting core proteins to the membrane; this may be the direct cause of eag  secretion and also may aid in the interaction of the core and surface antigens in the formation of the viral particle,custom_mturk
12,"plaque or tangle pathology is not apparent at this age, suggesting that they contribute cognitive dysfunction at later time points.",custom_mturk
13,proper folding of polypeptide into a threedimensional structure is essential for cellular function and protein malfolding can threaten cell survival,custom_mturk
14,"however, when er functions are severely impaired, the cell is eliminated by apoptosis via transcriptional induction of chop/gadd15t3h,e activation of cjun nh2 terminal kinase, and/or the activation of caspase 12",custom_mturk
15,neither of these recent studies has addressed whether it is testosterone itself or conversion to oestradiol (via aromatase) that influences cognitive function.,custom_mturk
16,"this seasonal pattern could arise from a number of causes or a combination of causes, such as climatic factors, dietary changes, obesity, physical activity, and infection, but it is difficult to reconcile the prolonged high incidence in summer, autumn, and winter with the seasonal variations of most of these factors",custom_mturk
17,the women health initiative memory study did not find an improvement in cognitive function after treatment with conjugated oestrogen plus progestin.,custom_mturk
18,"mutant p53 protein, mutations in the p53 gene, and specific codon 249 mutations were detected in 37, 29, and 13 percent, respectively, of the hcc cases",custom_mturk
19,enterovirus infection or some other factor which is present in autumn combined with a viable latent period before development of diabetes could also produce the seasonal pattern found,custom_mturk
20,"alzheimer disease is a progressive, dementing disorder, usually of middle or late life.",custom_mturk
21,"diabetes is a disease of multiple aetiology in which genetic, environmental, and endocrine factors play a part",custom_mturk
22,"a diagnosis of definite alzheimer disease requires histopathologic confirmation. a clinical diagnosis of possible alzheimer disease may be made in the presence of other significant diseases, particularly if, on clinical judgment, alzheimer disease is considered the more likely cause of the progressive dementia.",custom_mturk
23,"the ors between hbsag and p53 dna and protein mutations were 2.6 (p = 0.077) and 18 (p > 0.05), respectively",custom_mturk
24,older adults who do not develop dementia have stable cognitive performance.,custom_mturk
25,"however, there was no increase in brain plaque formation in cases of type 2 diabetes, although when it was present, it correlated in extent with duration of diabetes",custom_mturk
26,"we now report that reovirus type 1 also produces diabetes in mice, but in addition triggers a polyendocrine disease and induces autoantibodies to insulin and growth hormone (gh)",custom_mturk
27,"in some cases, the ad hallmarks may conceivably be promoted by a specific form of vascular injury; for example, blood brain barrier (bbb) dysfunction may affect abeta transport between the brain and periphery and thereby contribute to parenchymal and neurovascular amyloid deposition",custom_mturk
28,individuals currently characterised as having mci progress steadily to greater stages of dementia severity at rates dependent on the level of cognitive impairment at entry and they almost always have the neuropathologic features of ad.,custom_mturk
29,"every plaque that was visualized with thioflavin also had amyloid, but not all thioflavin positive plaques contained neurites that could be recognized with specific monoclonal antibodies to paired helical filament, tau, or neurofilament epitopes.",custom_mturk
30,"confirmation that presenilin is the catalytic site of c secretase has provided a linchpin: all dominant mutations causing early onset ad occur either in the substrate (amyloid precursor protein, app) or the protease (presenilin) of the reaction that generates abeta",custom_mturk
31,"progression from igt to diabetes was accompanied by a further increase in body weight, further decreases in insulin stimulated glucose disposal and air, and an increase in basal ego",custom_mturk
32,neuroinflammation is likely to play an important role in the pathogenesis of dementia by the killing of neurons through inflammatory mechanisms,custom_mturk
33,much less has been learned from chronic neurodegenerative disorders that insidiously impair memory,custom_mturk
34,"of 1,289 shipyard workers who received this vaccine, 191 (15 percent) developed jaundice several weeks to 8 months later; jaundice did not occur among unvaccinated workers",custom_mturk
35,reactive oxygen species (ros) play a key role in inflammatory tissue destruction,custom_mturk
36,"in the chronic diseases, which are at greatest risk of developing hcc, the infection is acquired in the early years or years of life",custom_mturk
37,"the results suggest a role for hyperlipacidemia in the pathogenesis of niddm; resistance to insulin mediated antilipolysis is invoked to explain the high ffa despite hyperinsulinemia, and sensitivity of beta cells to hyperlipacedemia is invoked to explain the ffa induced loss of gsis",custom_mturk
38,"functional imaging studies, in particular, suggest increased recruitment of brain areas in older adults that may reflect a form of compensation.",custom_mturk
39,"although adipocytes are critical in obesity, their role in diabetes has only recently been appreciated",custom_mturk
40,the discovery of the etiologic agent of hepatitis b and the development of safe and effective vaccines constitute one of the remarkable scientific achievements of the 20th century,custom_mturk
41,"alzheimer disease (ad) has characteristic histopathological, molecular, and biochemical abnormalities, including cell loss; abundant neurofibrillary tangles; dystrophic neurites; amyloid precursor protein, amyloid beta (app abeta) deposits; increased activation of prodeath genes and signaling pathways; impaired energy metabolism; mitochondrial dysfunction; chronic oxidative stress; and dna damage.",custom_mturk
42,"t2dm causes brain insulin resistance, oxidative stress, and cognitive impairment, but its aggregate effects fall far short of mimicking ad; ",custom_mturk
43,we review presently available evidence and suggest that nox type nadph oxidases may become promising pharmacological targets for the treatment and prevention of dementia,custom_mturk
44,understanding the transition to obesity with concomitant diabetes will provide important clues to the pathogenesis of type 2 diabetes,custom_mturk
45,we conclude that the term type 3 diabetes accurately reflects the fact that ad represents a form of diabetes that selectively involves the brain and has molecular and biochemical features that overlap with both type 1 diabetes mellitus and t2dm.,custom_mturk
46,alzheimer disease and vascular cognitive impairment are important causes of cognitive decline in the elderly,custom_mturk
47,"definitions of vascular cognitive impairment (vci), neuropathology, basic science and pathophysiological aspects, role of neuroimaging and vascular and other associated risk factors, and potential opportunities for prevention and treatment are reviewed",custom_mturk
48,"an increased plasma homocysteine level is a strong, independent risk factor for the development of dementia and alzheimer disease.",custom_mturk
49,"gdm is detected through the screening of pregnant women for clinical risk factors and, among at risk women, testing for abnormal glucose tolerance that is usually, but not invariably, mild and asymptomatic",custom_mturk
50,all four genes definitively linked to inherited forms of the disease to date have been shown to increase the production and/or deposition of amyloid beta protein in the brain.,custom_mturk
51,"in addition, there is evidence that the rate of forgetting from secondary memory is normal",custom_mturk
52,gdm appears to result from the same broad spectrum of physiological and genetic abnormalities that characterize diabetes outside of pregnancy,custom_mturk
53,"we conclude that the mechanisms of insulin resistance in patients with impaired glucose tolerance and in patients with type ii noninsulin dependent diabetes are complex, and result from heterogeneous causes",custom_mturk
54,"in this large group of patients with schizophrenia, receipt of a prescription for atypical neuroleptics was significantly associated with diabetes mellitus",custom_mturk
55,a high specificity would require that a low score on the test in question would be characteristic of early dat but not of other memory deficits occurring in the elderly,custom_mturk
56,"these observations indicate that part of the insulin deficiency is acquired (through glucose toxicity, lipotoxicity, or both)",custom_mturk
57,"recently, a cag repeat polymorphism in the ar gene was reported to be associated with cognitive function in older men",custom_mturk
58,"these results suggest that the greater the number of cag repeats, and therefore the greater the impairment of ar function, the worse the cognitive ability of nondemented older men",custom_mturk
59,"we designed such a test, the visual association test (vat), based on the following rationale",custom_mturk
60,the primary characteristic of anterograde amnesia is an inability to recall recent day to day experiences,custom_mturk
61,"secondly, these effects extend to memory impaired subjects, with the notable and consistent exception of patients with anterograde amnesia",custom_mturk
62,"because of the multiple physiological connections, in general, insulin deficiency and resistance will co vary",custom_mturk
63,"among the disorders that must be excluded are manic depressive disorder, parkinson disease, multi infarct dementia, and drug intoxication; less commonly encountered disorders that may cause dementia include thyroid disease, pernicious anemia, luetic brain disease and other chronic infections of the nervous system, subdural hematoma, occult hydrocephalus, huntington disease, creutzfeldt jakob disease, and brain tumors",custom_mturk
64,the latter hypothesis explains the increased formation of the app derivative betaa4 which aggregates to amyloid,custom_mturk
65,"however, in constrast, the great majority of all alzheimer cases (95 percent to 90 percent) was found to be sporadic in origin and oflate onset",custom_mturk
66,"on the other hand, however, most studies have highlighted the major role played by the immune response to hbv proteins, and particularly hbv specific ctl, in liver lesions observed during hbv infection",custom_mturk
67,"whilst these early changes powerfully determine susceptibility, additional factors such as obesity, ageing, physicalinactivity, and possibly other processes leading to insulin resistance must also play a role in deciding the time of onset and severity of type 2 diabetes",custom_mturk
68,older adults who do not develop dementia have stable cognitive performance,custom_mturk
69,plaque predominant ad was found in a greated proportion of subjects with milder than more severe dementia,custom_mturk
70,"as the population continues to age, the prevalence of dementing illnesses such as ad will increase",custom_mturk
71,phosphorylation sites in the j3 subunit of the control and diabetic receptor widereen tified by tryptic digestion and reverse phase high performance liquid chromatography,custom_mturk
72,these results provide direct support in humans for the hypothesis that altered abeta metabolism precedes tau related pathology and neuronal degeneration.,custom_mturk
73,"moreover, in sad, it has been shown that the neuronal insulin receptor is desensitized similarly to non insulin dependent diabetes mellitus ",custom_mturk
74,"alzheimer disease (ad) is a progressive neurodegenerative disorder characterized by multiple cognitive deficits including worsening of memory, judgment, and comprehension and deterioration in global functioning",custom_mturk
75,"cow milk has been implicated as a possible trigger of the autoimmune response that destroys pancreatic beta cells in genetically susceptible hosts, thus causing diabetes mellitus",custom_mturk
76,one or two  copies of the apoe epsilon4 allele are present in approximately 40 50 percent of ad patients,custom_mturk
77,non insulin dependent diabetes mellitus (niddm) is a genetically heterogeneous disorder,custom_mturk
78,out of these roots has grown the amyloid cascade hypothesis a vision of the etiology of alzheimer that has spurred the discovery of many important insights into the neurobiology of the disease,custom_mturk
79,we found substantial evidence of linkage between the glucokinase locus and maturity onset diabetes of the young but not between this locus and late onset niddm,custom_mturk
80,"peroxisome proliferator activated receptor gamma (ppargamma) mediates the transcriptional enhancement of a number of genes encoding proteins that regulate lipid metabolism, suggesting a pivotal role in the adipogenic signaling cascade and lipid homeostasis",custom_mturk
81,"in the secondary intervention cohort, intensive therapy slowed the progression of retinopathy by 54 percent (95 percent confidence interval, 39 to 66 percent) and reduced the development of proliferative severe nonproliferative retinopathy by 47 percent (95 percent confidence interval, 14 to 67 percent)",custom_mturk
82,"not only missense mutations at or near the alpha , beta  and gamma secretase cleavage sites of app and in the presenilins but also increased expression of app per se can cause an increase in concentration of abeta42 and subsequent abeta deposition",custom_mturk
83,the chief adverse event associated with intensive therapy was a two to threefold increase in severe hypoglycemia,custom_mturk
84,recent research has identified 2 potential mechanisms related to aging that may contribute to the development of the disease,custom_mturk
85,ample evidence has accumulated that oxidative damage to proteins and membrane lipids and an upregulation of antioxidant enzymes is associated with ad,custom_mturk
86,"insulitis (i.e., mononuclear cell infiltration of the pancreatic islets) is the direct result of the autoimmune process",custom_mturk
87,"the toxic effects of beta amyloid are mediated, at least in part, through the generation of free radicals by the peptide",custom_mturk
88,"the prominent role of protein aggregates in the pathology of alzheimer disease, frontotemporal dementia, dementia with lewy bodies, and creutzfeldt jakob disease is the most striking similarity",custom_mturk
89,treatment strategies for alzheimer disease are focusing on preventing the development or speeding up the clearance of these aggregates,custom_mturk
90,"the predicted abnormal forms of 2 proteins relevant to the pathogenesis of ad, beta amyloid precursor protein and ubiquitin b, and their corresponding altered messenger rna have been found in the brains of patients with ad, but not in those of controls",custom_mturk
91,"although a history of head trauma of sufficient severity to result in unconsciousness may increase the risk of developing ad, this likely makes a minor contribution to the burden of the disease",custom_mturk
92,"a number of epidemiological studies have reported that poor education is an important risk factor for ad; others have found no correlation, however",custom_mturk
93,"we describe two patients in whom complete deficiency of the glycolytic enzyme glucokinase, a key regulator of glucose metabolism in pancreatic beta cells that couples extracellular glucose to insulin secretion, caused permanent neonatal diabetes",custom_mturk
94,diabetes results from a newly discovered mechanism whereby the basal magnesium nucleotide dependent stimulatory action of sur1 on the kir pore is elevated and blockade by sulfonylureas is preserved,custom_mturk
95,"as with other chronic diseases, generalisations of the prognoses of type 2 diabetes by means of mortality and survival statistics are of limited predictive value for individual outcomes",custom_mturk
