azithromycin,ototoxicity
dihydrotachysterol,increased calcium-release
dihydrotachysterol,hypercalcemia
naproxen,pseudoporphyria
oxaprozin,pseudoporphyria
Naproxen,erythropoietic protoporphyria
naproxen,cutaneous fragility
oxaprozin,cutaneous fragility
naproxen,tense bullae
oxaprozin,tense bullae
clozapine,granulocytopenia
5-fluorouracil,neurotoxicity
5-FU,neurologic toxicity
5-FU,prolonged myelosuppression
5-FU,severe mucositis
BH-AC,encephalopathy syndrome
idarubicin,encephalopathy syndrome
riluzole,hepatitis
5-aminosalicylic acid,Lupus-like syndrome
lidocaine,methemoglobinemia
bupivacaine,Methemoglobinemia
aspirin,asthma
methotrexate,encephalopathy
MTX,neurotoxicity
epoprostenol,pulmonary edema
prednisone,pruritic bullous eruption
Hydroxyurea,acute interstitial pneumonitis
hydroxyurea,interstitial pneumonitis
calcipotriol,irritant contact dermatitis
Calcipotriol,allergic reactions
Calcipotriol,irritation of the skin
calcipotriol,irritant type of reaction
pravastatin,Myotonia
aspirin,angioedema
aspirin,systemic anaphylactoid reaction
aspirin,urticaria
omeprazole,eruption
salazosulfapyridine,diffuse erythema
salazosulfapyridine,fever up to 39 degrees C
salazosulfapyridine,malaise
salazosulfapyridine,pustules
salazosulfapyridine,Acute generalized exanthematous pustulosis
olanzapine,elevated serum CK concentration
Olanzapine,muscle injury with concomitant elevations of serum CK
olanzapine,elevation of serum creatine kinase
Diclofenac,hepatitis
2-CdA,lymphocytopenia
heparin,priapism
heparin,abnormal platelet aggregation
clozapine,agranulocytosis
clozapine,neutropenia
clozapine,diurnal variation of the white blood cells
all-trans-retinoic acid,Acute neutrophilic dermatosis
paroxetine,hair loss
insulin,protamine allergy
insulin,angioedema
insulin,severe urticaria
insulin,wheezing
insulin,allergic symptoms
NPH insulin,allergic symptoms
neutral protamine Hagedorn (NPH) insulin,protamine hypersensitivity
insulin,hives
NPH,angioedema
insulin,urticaria
NPH,urticaria
brimonidine,lethargic
brimonidine,poorly responsive
brimonidine,apneic
brimonidine,central nervous system depression
ceftriaxone,elevated hepato-biliary enzymes
ceftriaxone,transient biliary stasis
ceftriaxone,Hepato-biliary abnormalities
methotrexate,Anterior lumbosacral radiculopathy
methotrexate,progressive paraparesis
arsenic trioxide,decrease in the D-dimers
arsenic trioxide,slight decrease in peripheral blood leukocytes
minocycline,chills
minocycline,fatigue
minocycline,fever
minocycline,"generalized, pruritic, macular eruption"
minocycline,night sweats
 minocycline,mononucleosis-like syndrome
5-FU,life-threatening toxicity
5-FU,life-threatening complications
venlafaxine,acute ischaemic event
venlafaxine,ischaemic events
venlafaxine,acute cardiovascular event
venlafaxine,acute myocardial ischaemia
cyclophosphamide,embryopathy
CP,embryopathy
CP,multiple congenital anomalies
cyclosposphamide,blepharophimosis
cyclosposphamide,craniosynostosis
cyclosposphamide,developmental delay
cyclosposphamide,distal limb defects
cyclosposphamide,flat nasal bridge
cyclosposphamide,hypoplastic thumbs
cyclosposphamide,oligodactyly
cyclophosphamide,human teratogen
phenytoin,seizures
losartan,angioedema
danazol,hepatic adenomas
Heparin,thrombocytopenia
heparin,hemorrhagic complications
Taxane,glaucoma
doxetaxel,glaucoma
sodium phosphate,hyperphosphatemia
sodium biphosphate,hyperphosphatemia
amiodarone,Prolongation of the QT interval
amiodarone,ventricular tachyarrhymias
amiodarone,torsades de pointes
diphenylhydantoin,gingival hyperplasia
D-Pen,anemia
D-penicillamine,anemia
D-Pen,thrombocytopenia
D-penicillamine,thrombocytopenia
D-Pen,bicytopenia
D-penicillamine,inhibition of hematopoiesis
methimazole,agranulocytosis
alendronate sodium,hypocalcemic tetany
fleet phospho-soda,hypocalcemic tetany
alendronate,hypocalcemic tetany
Fosamax,hypocalcemic tetany
alendronate,hypophosphatemia
Fleet Phospho-Soda,hypophosphatemia
Fosamax,hypophosphatemia
gemcitabine,thrombotic microangiopathy
gemcitabine,renal failure
infliximab,B-cell non-Hodgkin's lymphoma
infliximab,lymphoma
infliximab,nodular sclerosing Hodgkin's lymphoma
Codeine,Codeine intoxication
Hydroxyurea,increase fetal hemoglobin
sodium phenylbutyrate,increase fetal hemoglobin
HU,increase in total Hb
HU,hepatic toxicity
HU,mild reversible hematologic
HU,increasing Hb F
Sodium phenylbutyrate,increasing Hb F
HU,increase total Hb
HU,increases in total Hb
SPB,increases in total Hb
oolong tea,delirious
oolong tea,delirium
caffeine,caffeine intoxication
oolong tea,caffeine intoxication
caffeine,rhabdomyolysis
